dataset_path,k,alpha,beta,gamma,test_select_accuracy,train_select_accuracy,test_sample_accuracy,train_sample_accuracy,num_verifiers,verifiers,train_file,test_file,dataset_name,dataset_type,model_size,greedy_score
wfang11/gpqa-llama70b-1-5-94-dev,10,1.0,0.25,0.5,0.6666666666666666,0.6666666666666666,0.785,0.785,36,"GRM_GEMMA (2B), QwenPRM_min_scores (7.63B), QwenPRM_max_scores (7.63B), QwenPRM_avg_scores (7.63B), EurusPRMStage1_min_scores (7.62B), EurusPRMStage1_max_scores (7.62B), EurusPRMStage1_avg_scores (7.62B), EurusPRMStage2_min_scores (7.62B), EurusPRMStage2_max_scores (7.62B), EurusPRMStage2_avg_scores (7.62B), InternLM2 (7B), DecisionTreeReward (8B), LDLReward (27.2B), InternLM2 (20B), QRM_Gemma (27.2B), GRM (8B), Skyworks (8B), URM (8B), QRM (8B), GPM (8B), GRM_LLama32 (3B), Qwen72B_scores (72B), Skyworks_Gemma (27.2B), OffsetBias (8B), ArmorRM (8B), DecisionTreeReward Gemma (27.2B), Inform (69.6B), weaver_scores, Mixtral-8x22B, Qwen2.5-72B Instruct, SkyT1 (32B), WizardLM-2-8x22B, Llama-3.1-405B Instruct Quantized, DeepSeekQwen (32B), DeepSeekLlama (70B), Llama-3.3-70B Instruct",results/gpqa-llama70b/weaver_train_k10_b0.25_g0.5.csv,results/gpqa-llama70b/weaver_test_k10_b0.25_g0.5.csv,gpqa-llama70b,GPQA,70B,5.564785486941907
wfang11/gpqa-llama70b-1-5-94-dev,10,1.0,0.25,1.0,0.6666666666666666,0.6666666666666666,0.785,0.785,36,"GRM_GEMMA (2B), QwenPRM_min_scores (7.63B), QwenPRM_max_scores (7.63B), QwenPRM_avg_scores (7.63B), EurusPRMStage1_min_scores (7.62B), EurusPRMStage1_max_scores (7.62B), EurusPRMStage1_avg_scores (7.62B), EurusPRMStage2_min_scores (7.62B), EurusPRMStage2_max_scores (7.62B), EurusPRMStage2_avg_scores (7.62B), InternLM2 (7B), DecisionTreeReward (8B), LDLReward (27.2B), InternLM2 (20B), QRM_Gemma (27.2B), GRM (8B), Skyworks (8B), URM (8B), QRM (8B), GPM (8B), GRM_LLama32 (3B), Qwen72B_scores (72B), Skyworks_Gemma (27.2B), OffsetBias (8B), ArmorRM (8B), DecisionTreeReward Gemma (27.2B), Inform (69.6B), weaver_scores, Mixtral-8x22B, Qwen2.5-72B Instruct, SkyT1 (32B), WizardLM-2-8x22B, Llama-3.1-405B Instruct Quantized, DeepSeekQwen (32B), DeepSeekLlama (70B), Llama-3.3-70B Instruct",results/gpqa-llama70b/weaver_train_k10_b0.25_g1.0.csv,results/gpqa-llama70b/weaver_test_k10_b0.25_g1.0.csv,gpqa-llama70b,GPQA,70B,5.434699210277772
wfang11/gpqa-llama70b-1-5-94-dev,10,1.0,0.5,0.25,0.6666666666666666,0.6666666666666666,0.785,0.785,36,"GRM_GEMMA (2B), QwenPRM_min_scores (7.63B), QwenPRM_max_scores (7.63B), QwenPRM_avg_scores (7.63B), EurusPRMStage1_min_scores (7.62B), EurusPRMStage1_max_scores (7.62B), EurusPRMStage1_avg_scores (7.62B), EurusPRMStage2_min_scores (7.62B), EurusPRMStage2_max_scores (7.62B), EurusPRMStage2_avg_scores (7.62B), InternLM2 (7B), DecisionTreeReward (8B), LDLReward (27.2B), InternLM2 (20B), QRM_Gemma (27.2B), GRM (8B), Skyworks (8B), URM (8B), QRM (8B), GPM (8B), GRM_LLama32 (3B), Qwen72B_scores (72B), Skyworks_Gemma (27.2B), OffsetBias (8B), ArmorRM (8B), DecisionTreeReward Gemma (27.2B), Inform (69.6B), weaver_scores, Mixtral-8x22B, Qwen2.5-72B Instruct, SkyT1 (32B), WizardLM-2-8x22B, Llama-3.1-405B Instruct Quantized, DeepSeekQwen (32B), DeepSeekLlama (70B), Llama-3.3-70B Instruct",results/gpqa-llama70b/weaver_train_k10_b0.5_g0.25.csv,results/gpqa-llama70b/weaver_test_k10_b0.5_g0.25.csv,gpqa-llama70b,GPQA,70B,5.083600231105687
wfang11/gpqa-llama70b-1-5-94-dev,10,1.0,0.5,0.5,0.6666666666666666,0.6666666666666666,0.785,0.785,36,"GRM_GEMMA (2B), QwenPRM_min_scores (7.63B), QwenPRM_max_scores (7.63B), QwenPRM_avg_scores (7.63B), EurusPRMStage1_min_scores (7.62B), EurusPRMStage1_max_scores (7.62B), EurusPRMStage1_avg_scores (7.62B), EurusPRMStage2_min_scores (7.62B), EurusPRMStage2_max_scores (7.62B), EurusPRMStage2_avg_scores (7.62B), InternLM2 (7B), DecisionTreeReward (8B), LDLReward (27.2B), InternLM2 (20B), QRM_Gemma (27.2B), GRM (8B), Skyworks (8B), URM (8B), QRM (8B), GPM (8B), GRM_LLama32 (3B), Qwen72B_scores (72B), Skyworks_Gemma (27.2B), OffsetBias (8B), ArmorRM (8B), DecisionTreeReward Gemma (27.2B), Inform (69.6B), weaver_scores, Mixtral-8x22B, Qwen2.5-72B Instruct, SkyT1 (32B), WizardLM-2-8x22B, Llama-3.1-405B Instruct Quantized, DeepSeekQwen (32B), DeepSeekLlama (70B), Llama-3.3-70B Instruct",results/gpqa-llama70b/weaver_train_k10_b0.5_g0.5.csv,results/gpqa-llama70b/weaver_test_k10_b0.5_g0.5.csv,gpqa-llama70b,GPQA,70B,4.96106026016636
wfang11/gpqa-llama70b-1-5-94-dev,10,1.0,0.5,1.0,0.6666666666666666,0.6666666666666666,0.785,0.785,36,"GRM_GEMMA (2B), QwenPRM_min_scores (7.63B), QwenPRM_max_scores (7.63B), QwenPRM_avg_scores (7.63B), EurusPRMStage1_min_scores (7.62B), EurusPRMStage1_max_scores (7.62B), EurusPRMStage1_avg_scores (7.62B), EurusPRMStage2_min_scores (7.62B), EurusPRMStage2_max_scores (7.62B), EurusPRMStage2_avg_scores (7.62B), InternLM2 (7B), DecisionTreeReward (8B), LDLReward (27.2B), InternLM2 (20B), QRM_Gemma (27.2B), GRM (8B), Skyworks (8B), URM (8B), QRM (8B), GPM (8B), GRM_LLama32 (3B), Qwen72B_scores (72B), Skyworks_Gemma (27.2B), OffsetBias (8B), ArmorRM (8B), DecisionTreeReward Gemma (27.2B), Inform (69.6B), weaver_scores, Mixtral-8x22B, Qwen2.5-72B Instruct, SkyT1 (32B), WizardLM-2-8x22B, Llama-3.1-405B Instruct Quantized, DeepSeekQwen (32B), DeepSeekLlama (70B), Llama-3.3-70B Instruct",results/gpqa-llama70b/weaver_train_k10_b0.5_g1.0.csv,results/gpqa-llama70b/weaver_test_k10_b0.5_g1.0.csv,gpqa-llama70b,GPQA,70B,4.736368902141669
wfang11/gpqa-llama70b-1-5-94-dev,10,1.0,1.0,0.25,0.6666666666666666,0.6666666666666666,0.785,0.785,36,"GRM_GEMMA (2B), QwenPRM_min_scores (7.63B), QwenPRM_max_scores (7.63B), QwenPRM_avg_scores (7.63B), EurusPRMStage1_min_scores (7.62B), EurusPRMStage1_max_scores (7.62B), EurusPRMStage1_avg_scores (7.62B), EurusPRMStage2_min_scores (7.62B), EurusPRMStage2_max_scores (7.62B), EurusPRMStage2_avg_scores (7.62B), InternLM2 (7B), DecisionTreeReward (8B), LDLReward (27.2B), InternLM2 (20B), QRM_Gemma (27.2B), GRM (8B), Skyworks (8B), URM (8B), QRM (8B), GPM (8B), GRM_LLama32 (3B), Qwen72B_scores (72B), Skyworks_Gemma (27.2B), OffsetBias (8B), ArmorRM (8B), DecisionTreeReward Gemma (27.2B), Inform (69.6B), weaver_scores, Mixtral-8x22B, Qwen2.5-72B Instruct, SkyT1 (32B), WizardLM-2-8x22B, Llama-3.1-405B Instruct Quantized, DeepSeekQwen (32B), DeepSeekLlama (70B), Llama-3.3-70B Instruct",results/gpqa-llama70b/weaver_train_k10_b1.0_g0.25.csv,results/gpqa-llama70b/weaver_test_k10_b1.0_g0.25.csv,gpqa-llama70b,GPQA,70B,4.3284242857194055
wfang11/gpqa-llama70b-1-5-94-dev,10,1.0,1.0,0.5,0.6666666666666666,0.6666666666666666,0.785,0.785,36,"GRM_GEMMA (2B), QwenPRM_min_scores (7.63B), QwenPRM_max_scores (7.63B), QwenPRM_avg_scores (7.63B), EurusPRMStage1_min_scores (7.62B), EurusPRMStage1_max_scores (7.62B), EurusPRMStage1_avg_scores (7.62B), EurusPRMStage2_min_scores (7.62B), EurusPRMStage2_max_scores (7.62B), EurusPRMStage2_avg_scores (7.62B), InternLM2 (7B), DecisionTreeReward (8B), LDLReward (27.2B), InternLM2 (20B), QRM_Gemma (27.2B), GRM (8B), Skyworks (8B), URM (8B), QRM (8B), GPM (8B), GRM_LLama32 (3B), Qwen72B_scores (72B), Skyworks_Gemma (27.2B), OffsetBias (8B), ArmorRM (8B), DecisionTreeReward Gemma (27.2B), Inform (69.6B), weaver_scores, Mixtral-8x22B, Qwen2.5-72B Instruct, SkyT1 (32B), WizardLM-2-8x22B, Llama-3.1-405B Instruct Quantized, DeepSeekQwen (32B), DeepSeekLlama (70B), Llama-3.3-70B Instruct",results/gpqa-llama70b/weaver_train_k10_b1.0_g0.5.csv,results/gpqa-llama70b/weaver_test_k10_b1.0_g0.5.csv,gpqa-llama70b,GPQA,70B,4.1734860141144665
wfang11/gpqa-llama70b-1-5-94-dev,10,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666,0.785,0.785,36,"GRM_GEMMA (2B), QwenPRM_min_scores (7.63B), QwenPRM_max_scores (7.63B), QwenPRM_avg_scores (7.63B), EurusPRMStage1_min_scores (7.62B), EurusPRMStage1_max_scores (7.62B), EurusPRMStage1_avg_scores (7.62B), EurusPRMStage2_min_scores (7.62B), EurusPRMStage2_max_scores (7.62B), EurusPRMStage2_avg_scores (7.62B), InternLM2 (7B), DecisionTreeReward (8B), LDLReward (27.2B), InternLM2 (20B), QRM_Gemma (27.2B), GRM (8B), Skyworks (8B), URM (8B), QRM (8B), GPM (8B), GRM_LLama32 (3B), Qwen72B_scores (72B), Skyworks_Gemma (27.2B), OffsetBias (8B), ArmorRM (8B), DecisionTreeReward Gemma (27.2B), Inform (69.6B), weaver_scores, Mixtral-8x22B, Qwen2.5-72B Instruct, SkyT1 (32B), WizardLM-2-8x22B, Llama-3.1-405B Instruct Quantized, DeepSeekQwen (32B), DeepSeekLlama (70B), Llama-3.3-70B Instruct",results/gpqa-llama70b/weaver_train_k10_b1.0_g1.0.csv,results/gpqa-llama70b/weaver_test_k10_b1.0_g1.0.csv,gpqa-llama70b,GPQA,70B,3.8927619201536747
wfang11/gpqa-llama70b-1-5-94-dev,15,1.0,0.25,0.25,0.6666666666666666,0.6666666666666666,0.785,0.785,36,"GRM_GEMMA (2B), QwenPRM_min_scores (7.63B), QwenPRM_max_scores (7.63B), QwenPRM_avg_scores (7.63B), EurusPRMStage1_min_scores (7.62B), EurusPRMStage1_max_scores (7.62B), EurusPRMStage1_avg_scores (7.62B), EurusPRMStage2_min_scores (7.62B), EurusPRMStage2_max_scores (7.62B), EurusPRMStage2_avg_scores (7.62B), InternLM2 (7B), DecisionTreeReward (8B), LDLReward (27.2B), InternLM2 (20B), QRM_Gemma (27.2B), GRM (8B), Skyworks (8B), URM (8B), QRM (8B), GPM (8B), GRM_LLama32 (3B), Qwen72B_scores (72B), Skyworks_Gemma (27.2B), OffsetBias (8B), ArmorRM (8B), DecisionTreeReward Gemma (27.2B), Inform (69.6B), weaver_scores, Mixtral-8x22B, Qwen2.5-72B Instruct, SkyT1 (32B), WizardLM-2-8x22B, Llama-3.1-405B Instruct Quantized, DeepSeekQwen (32B), DeepSeekLlama (70B), Llama-3.3-70B Instruct",results/gpqa-llama70b/weaver_train_k15_b0.25_g0.25.csv,results/gpqa-llama70b/weaver_test_k15_b0.25_g0.25.csv,gpqa-llama70b,GPQA,70B,8.167862012037101
wfang11/gpqa-llama70b-1-5-94-dev,15,1.0,0.25,0.5,0.6666666666666666,0.6666666666666666,0.785,0.785,36,"GRM_GEMMA (2B), QwenPRM_min_scores (7.63B), QwenPRM_max_scores (7.63B), QwenPRM_avg_scores (7.63B), EurusPRMStage1_min_scores (7.62B), EurusPRMStage1_max_scores (7.62B), EurusPRMStage1_avg_scores (7.62B), EurusPRMStage2_min_scores (7.62B), EurusPRMStage2_max_scores (7.62B), EurusPRMStage2_avg_scores (7.62B), InternLM2 (7B), DecisionTreeReward (8B), LDLReward (27.2B), InternLM2 (20B), QRM_Gemma (27.2B), GRM (8B), Skyworks (8B), URM (8B), QRM (8B), GPM (8B), GRM_LLama32 (3B), Qwen72B_scores (72B), Skyworks_Gemma (27.2B), OffsetBias (8B), ArmorRM (8B), DecisionTreeReward Gemma (27.2B), Inform (69.6B), weaver_scores, Mixtral-8x22B, Qwen2.5-72B Instruct, SkyT1 (32B), WizardLM-2-8x22B, Llama-3.1-405B Instruct Quantized, DeepSeekQwen (32B), DeepSeekLlama (70B), Llama-3.3-70B Instruct",results/gpqa-llama70b/weaver_train_k15_b0.25_g0.5.csv,results/gpqa-llama70b/weaver_test_k15_b0.25_g0.5.csv,gpqa-llama70b,GPQA,70B,7.946522995295607
wfang11/gpqa-llama70b-1-5-94-dev,15,1.0,0.25,1.0,0.6666666666666666,0.6666666666666666,0.785,0.785,36,"GRM_GEMMA (2B), QwenPRM_min_scores (7.63B), QwenPRM_max_scores (7.63B), QwenPRM_avg_scores (7.63B), EurusPRMStage1_min_scores (7.62B), EurusPRMStage1_max_scores (7.62B), EurusPRMStage1_avg_scores (7.62B), EurusPRMStage2_min_scores (7.62B), EurusPRMStage2_max_scores (7.62B), EurusPRMStage2_avg_scores (7.62B), InternLM2 (7B), DecisionTreeReward (8B), LDLReward (27.2B), InternLM2 (20B), QRM_Gemma (27.2B), GRM (8B), Skyworks (8B), URM (8B), QRM (8B), GPM (8B), GRM_LLama32 (3B), Qwen72B_scores (72B), Skyworks_Gemma (27.2B), OffsetBias (8B), ArmorRM (8B), DecisionTreeReward Gemma (27.2B), Inform (69.6B), weaver_scores, Mixtral-8x22B, Qwen2.5-72B Instruct, SkyT1 (32B), WizardLM-2-8x22B, Llama-3.1-405B Instruct Quantized, DeepSeekQwen (32B), DeepSeekLlama (70B), Llama-3.3-70B Instruct",results/gpqa-llama70b/weaver_train_k15_b0.25_g1.0.csv,results/gpqa-llama70b/weaver_test_k15_b0.25_g1.0.csv,gpqa-llama70b,GPQA,70B,7.622994738739542
